aine_kood,nimi_et,eap,semester,kirjeldus,toimumisajad,oppejoud,opivaljundid,keel,hindamisskaala,asukoht,oppeaste,hindmaismeetod,miinimumnouded,eeldusained
P2VK.05.060,Turundus,3.0,kevad,"Antakse ülevaade turundusest kui kaasaegse äritegevuse ja samuti kultuurielu korraldamise printsiibist, kus tähelepanu keskpunktis asub klient. Vaadeldakse kultuurisündmuste turunduskontseptsiooni realiseerimise vahendeid ja meetodeid. Käsitletakse toote-, hinna- ja edustuspoliitikate kujundamise põhimõtteid.",Neljapäev,"Eda Koppel, Jorma Sarv",,eesti keel,"Eristav (A, B, C, D, E, F, mi)",Viljandi linn,rakenduskõrgharidusõpe,"25% - Teadmiste kontroll: Turunduse teoreetilised alused. Kokku on võimalik saada 25 punkti. Teadmiste kontrolli sooritamiseks on vajalik saada vähemalt 14 punkti.
25% - Grupitöö: Vabalt valitud kultuurisündmuse turundustegevuste analüüs sotsiaalmeedias. Maksimaalselt on võimalik saada 25 punkti.
50% - Kodutöö: kultuurisündmuse, kultuurivaldkonda puudutava ettevõtmise või idee turundustegevuste plaan + kolme reklaamiformaadi teostus erinevate kanalite lõikes (a'la plakat, sotsiaalmeedia reklaam, uudiskiri, blogipostitus, podcast, audioreklaam, reklaambanner vms). 
Kursus lõppeb kodutöö kaitsmisega. Üliõpilane teeb auditooriumis esitluse loodud turundusplaani ja reklaamiformaatide kohta ja saab kohese tagasiside.
Töö kaitsmisele lubamise eelduseks on osavõtt loengutest (75%), teadmiste kontrolli sooritamine.

25% teadmiste kontroll, 25% grupitöö esitlus, 50% kodutöö ettekanne.","Teadmiste kontrolli läbimine, vähemalt 14 punkti 25 maksimaalsest. Osavõtt loengutest (75%).",
FLAJ.02.058,Paleograafia,3.0,kevad,Kursus annab ülevaate ladina paleograafia arenguetappidest ja uurimisest. Kursuses käsitletakse ka vene paleograafiat.,,"Aigi Rahi-Tamm, Sven Lepa",,eesti keel,"Eristamata (arv, m.arv, mi)",,"bakalaureuseõpe, magistriõpe",Vastavalt erinevate 17.-19. sajandi saksakeelsete käsikirjaliste tekstide lugemise oskusele,Osavõtt loengutest. Erinevas keeles ja kirjas tekstide lugemine.,
ARSK.01.032,Nefroloogia,1.5,kevad,"Nefroloogia moodustab ühe osa õppeainest “Sisehaigused” ja käsitleb neerude- ja kuseteede haiguste patogeneesimehhanisme, diagnostikat, ravi ja ennetust. Samuti ägeda ja kroonilise neerupuudulikkusega kaasnevaid elektrolüütide tasakaaluhäirete ravi ning neeruasendusravi.",Esmaspäev,"Jana Uhlinova, Leelo Järv, Mai Rosenberg",,inglise keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,integreeritud bakalaureuse- ja magistriõpe,Internal medicine exam,Positive test result after practical works and seminars.,
FLGR.03.302,Hispaania keele varieerumine,6.0,kevad,"Kursus tutvustab lingvistilist varieerumist nähtusena ja selle nähtuse väljendumist kaasaegses hispaania keeles üle kogu maailma, kasutades selleks rohkelt autentseid audio- ja videomaterjale.",,Mari Kruse,,inglise keel,"Eristav (A, B, C, D, E, F, mi)",,"bakalaureuseõpe, magistriõpe","La nota final constará de un 10% por la participación y asistencia, 15% por las tareas de casa, 25% por la ponencia, y 50% por los controles.","Para aprobar la asignatura, cada alumno tiene la obligación de completar las tareas de casa, preparar una ponencia sobre la región seleccionada y presentarla de forma oral y escrita, aprobar tres trabajos de control en línea (resultado min. 75%) y asistir a un mínimo del 60% de las clases.",
MJ00.00.024,Bakalaureuseseminar,3.0,kevad,Bakalaureuseseminar üldistab ja süvendab üliõpilaste teadmisi teadusliku uurimistöö tegemiseks.,"Teisipäev, Kolmapäev, Pühapäev","Diana Eerma, Mariia Chebotareva",,inglise keel,"Eristamata (arv, m.arv, mi)",Tartu linn,bakalaureuseõpe,"Final grade is composed of the following parts: 
1) participation in seminars, accompanied by small assignments; 
2) pre-defence of bachelor thesis. If a student graduates by final exam, the pre-defence is substituted by a consultation/rehearsal for bachelor exam.",,
LOKT.10.026,Peatükke meditsiinilisest keemiast,3.0,kevad,"Kursuse käigus tutvutakse peamiste meditsiinilise keemia põhimõtetega ning vaadeldakse levinumaid bioaktiivsete ainete disainimise ja valmistamise strateegiaid. Materjal toetub valdavalt õpikule ""An Introduction to Medicinal Chemistry"" (Grham L. Patrick, Oxforf Press), millest peamine tähelepanu on osadel C (toimeainete leidmine ja disainimine) ja D (sünteesi strateegiad, struktuur-aktiivsussõltuvused). Kursus eeldab orgaanilise keemia ja biokeemia põhiteadmiste olemasolu.",,Erki Enkvist,,eesti keel,"Eristamata (arv, m.arv, mi)",,"bakalaureuseõpe, doktoriõpe, integreeritud bakalaureuse- ja magistriõpe, magistriõpe","Arvestuse saamiseks tuleb teostada seminarides tehtavad tööd, esitada vähemalt kuus lühikirjutist ja kirjutada rahuldavale tulemusele arvestustöö.","Ettekande ja seminari tööde sooritamine (Ki arvutamine, Pymol). Seminaridest puudumiste korral tuleb vastavad tegevused sooritada iseseisvalt ning esitada nende kohta raportid. Vähemalt kuue loengu teemal lühikirjutise (kuni viis lauset, saab kirjutada ka iga loengu lõpus) esitamine.",
P2OG.02.209,Euroopa Liidu õigus,6.0,kevad,"The basic course discusses the creation, legal nature and legal foundations of the EU, the interactions of the EU with international and regional organizations, relationship between the EU law and national law, institutions of the EU and the representation of Estonia therein, the decision making and law making procedures of the EU and Estonia's participation thereof, the implementation of the EU law in Member States including Estonia and the problems that might arise, the responsibility of a Member State in case of being in breach with the EU law, the judicial system of the EU and actions and procedure in the European Court of Justice, the fundamental rights and freedoms in the EU law, the general principles of EU law.",,Carri Ginter,,inglise keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,magistriõpe,"Criteria
*	consistency, completeness and correctness of the answers to theoretical questions
*	creativeness and consistency of the solutions to hypothetical cases 
*	depth of the analysis of problems and applicable norms and principles
*	association of theory with state and court practice
*	structure and formatting

Grades
A	the answers to theoretical questions are remarkable; the examination of hypothetical cases is full, logical and creative; the analysis of legal problems is detailed and innovative; all relevant norms and principles have been used; the references to state and court practice are thoughtful and creative; the form is excellent; overall, the text is a remarkable achievement [91-100 points]
B	the answers to theoretical questions are very good with insignificant mistakes or omissions; the examination of hypothetical cases is purposeful and creative; the analysis of legal problems is very good with insignificant deficiencies; necessary norms and principles have been used; the references to state and court practice support the conclusions; the form is very good; overall, the treatment of the subject is logical and smooth [81-90 points]
C	the answers to theoretical questions are good, but there are mistakes or omissions; the examination of hypothetical cases addresses correctly the central issues; the analysis of legal problems is good with some deficiencies concerning specific issues; key norms and principles have been used; the form is good; overall, the coverage of the subject is logical, but there are some weaknesses from the point of view of the whole [71-80 points]
D	the answers to theoretical questions are fair, but there are several mistakes or omissions; the examination of hypothetical cases is satisfactory, but focuses only on the central aspects; the analysis of legal problems is satisfactory with deficiencies is most aspects; only basic norms and principles have been used; the form is fair; overall, the treatment of the subjec","*	Participation in all seminars.
*	A written exam with two questions worth a maximum of 100 points (a theoretical question for a maximum of 30 points and solving a case for a maximum of 70 points)",
ARTH.02.056,Meditsiiniajalugu,3.0,kevad,Kursusel käsiteltakse meditsiini ajalugu laiemas ühiskondlikus ja teadusloolises kontekstis.,,"Anu Rae, Ken Kalling",,inglise keel,"Eristamata (arv, m.arv, mi)",,integreeritud bakalaureuse- ja magistriõpe,In order to pass this course a student has to 1) be present in given number of classes (number given in the beginning of the semester) 2) be present and provide homework for compulsory seminars 3) do a presentation on a freely chosen topic on history of medicine that has been agreed by the lecturer.,,
ARST.01.103,Mälumisfüsioloogia I,3.0,kevad,"Aine paremaks mõistmiseks on vajalikud teadmised evolutsiooniteooriast, anatoomiast, histoloogiast, füsioloogiast, biomehaanikast, organismi adaptatiivsetest muutustest ja patoloogilistest protsessidest.",Teisipäev,"Eva-Susanna Huntsaar, Ülle Voog-Oras",,eesti keel,"Eristamata (arv, m.arv, mi)",Tartu linn,integreeritud bakalaureuse- ja magistriõpe,"1. Kolm positiivselt sooritatud testi.
2. Osavõtt kõikidest praktikumidest.
3. Esitatud praktikumi tööde aruanne.
4. Edukalt esitatud ettekanne.
5. Positiivselt sooritatud koondarvestus.","Osalemine kõigil õppetöö vormidel, osavõtt kõikidest praktikumidest. Puudutud praktikumid tuleb järgi teha.",
OIEO.04.099,Eraõiguse aktuaalseid probleeme I,8.0,sügis,Aine raames käsitletakse eriseminaride vormis olulisemaid eraõiguse teoreetilisi probleeme. Iga doktorant esitab ühe referaadi doktoriõppe 1. aastal ning on ühe referaadi oponendiks,,"Andres Vutt, Irene Kull, Janno Lahe, Merle Erikson",,eesti keel,"Eristamata (arv, m.arv, mi)",Tartu linn,doktoriõpe,"Lõplik tulemus kujuneb seminariettekande, oponeeringu ja seminaris osalemise pinnalt.",Hindamisele pääsemiseks peab doktorant esitama õigeaegselt ettekande teksti ja oponeeringu.,
P2VK.09.006,Isiksuse- ja sotsiaalpsühholoogia,3.0,kevad,Antakse ülevaade isiksuseteooriatest ja grupisuhetest. Seminarides viiakse läbi isiksuse uurimise teste ja kuulatakse ning arutatakse läbi üliõpilaste poolt koostatud ettekanded.,Kolmapäev,Kalle Küttis,,eesti keel,"Eristav (A, B, C, D, E, F, mi)",Viljandi linn,"bakalaureuseõpe, rakenduskõrgharidusõpe",Elektrooniline test,Osavõtt 75% loengutest.,
LTAT.03.004,Andmebaasid,6.0,kevad,"Relatsioonilise andmebaasi põhimõisted. SQL struktuur ja süntaks. Andmestruktuuride kirjeldamise (DDL) ja andmete muutmise keeled (DML). Lihtsad päringud, filtreerimine, grupeerimine, agregeerimine. Vaated ning andmetele ligipääsu piiramine. Andmeterviklikkus. Andmebaasisüsteemid ja andmemudelid. Enam levinud andmemudelid. Andmebaasi projekteerimise teooria relatsioonilises mudelis. Relatsioonilise andmemudeli keeled, nende klassifikatsioon, reaalsed keeled. Päringute optimeerimine. Andmebaaside eriküsimusi (andmelaod, andmekaitse, töökindlus jt.).",,"Georg Järvis, Gunnar Nellis, Jaagup Tamme, Karl Allik, Kirke Kisand, Lidia Feklistova, Marili Rõõm, Martti Kakk, Merlin Pastak, Mirjam Paales, Piret Luik, Ronald Judin, Vambola Leping",,eesti keel,"Eristav (A, B, C, D, E, F, mi)",,bakalaureuseõpe,https://courses.cs.ut.ee/2024/Andmebaasid/spring,"Eksami arvestuspäringutele pääsemiseks peab olema lävend saavutatud koduülesannetes ja praktikumides. Eksami teooriatestile pääsemiseks peab olema lävend saavutatud nii loengute kontrolltööd koos loenguvideote testidega, koduülesanded koos praktikumidega kui ka rühmatöö  ja arvestuspäringud. Päringud annavad maksimaalselt 14 ja eksami teooriaosa 28 punkti. Lävendid on vastavalt 7 ja 14 punkti.",
LTAT.03.007,Programmeerimine II,6.0,kevad,Osalejad lahendavad igast põhiteemast erinevaid ülesandeid ja programmeerivad lahendused Java keeles.,,"Ahti Põder, Alo Aasmäe, Andres Alumets, Egert Heliste, Jaagup Tamme, Jaan Janno, Kaur Huko Käämbre, Kristo Väljako, Markus Post, Rio Truija",,eesti keel,"Eristav (A, B, C, D, E, F, mi)",,bakalaureuseõpe,"Kontrolltööd: 60p (3 tk, igaüks 20p), sooritatakse loengu ajal ja kohas praktiliste ülesannete programmeerimisega. Kontrolltööl on lävend ja see avalikustatakse enne vastavat tööd.
Kodutööd: 30p (võrdses kaalus)
Praktikumides osalemine ja aktiivne kaasatöötamine: 10p

Hinnet määrav punktisumma saadakse kontrolltööde, kodutööde ja praktikumides osalemise punktide summana, millele lisanduvad boonuspunktid. Positiivse hinde saamise tarvilik tingimus on, et iga kontrolltöö lävend on ületatud.

Eksamil saab igat kontrolltööd 1 kord uuesti sooritada.
Õppejõul on õigus vajadusel iga hinnatava töö korral saada lisaselgitusi, korraldades kokkusaamise või vestluse ülesannete teemal.",Iga koduülesande lahendamise tähtaeg on ligikaudu 1 nädal peale ülesande avalikustamist (täpsustatakse ülesande püstituse juures).,MTAT.03.100 Programmeerimine
MJJV.11.001,Ettevõtluse alused I,3.0,kevad,"During this introductory entrepreneurship course, the student gets acquainted with the ideas of entrepreneurial life style. Concepts, like an entrepreneur, entrepreneurship, failure, entrepreneurial team, and other will be introduced and experienced.
Creation of the business ideas, entrepreneurial processes, evaluation and feedback of developed ideas will be the central focus of this course. Also, teams will perform a small customer survey and conduct interviews with entrepreneurs.
FInally, each team will get a chance to present their ideas to real entrepreneurs and practitioners.",Kolmapäev,Märt Summatavet,,inglise keel,"Eristamata (arv, m.arv, mi)",,magistriõpe,,"Active participation in the course, being prepared for each meeting.",
LOKT.00.023,Praktika,6.0,sügis,"Käesoleva õppeaine raames läbib tudeng vähemalt kuuajalisele täiskoormusele vastava praktika mõnes keemia, farmaatsia või muu sarnase kallakuga teaduslikus või tootmisettevõttes. Praktika lõpus esitab tudeng kirjaliku aruande saadud teadmisest koos ülevaatega praktika raames läbi viidud praktilistest töödest. Arvestuse saamiseks esitatakse aruanne oponeeritava suulise ettekandena. Praktika aruannete kaitsmine toimub vähemalt kord semestris Keemia Instituudi direktori poolt määratud komisjoni ees.",,Piret Pikma,,eesti keel,"Eristamata (arv, m.arv, mi)",Tartu linn,magistriõpe,Lõplik tulemus kujuneb eneseanalüüsi sisaldava praktikaaruande ning seminari ettekande ja arutelu põhjal.,"Hindamisele pääseb üliõpilane juhul, kui iseseisvate tööde loetelus välja toodud tegevused on tehtud. Kõik väljatoodud tegevused on kohustuslikud:
* On leitud praktikakoht ja sõlmitud praktikaleping (esitada Moodlesse));
* Praktikaplaanis on formuleeritud praktika eesmärgid ja ülesanded;
* Ülesanded on teostatud ja eesmärgid saavutatud;
* Võetud praktikabaasi poolne hinnang;
* Esitatud eneseanalüüsi sisaldav praktikaaruanne;
* Osaletud lõpuseminaril (kas oma õppetoolis või praktika lõpuseminaris).",
LOKT.04.072,Keskkond ja mõõtmine,3.0,kevad,Kursuses antakse ülevaade keskkonna objektide iseloomustamisel kasutatavatest analüüsi meetoditest. Praktiliste tööde käigus teostatakse analüüsid keskkonna objektidelt toodud proovidega ning saadud tulemuste põhjal esitatakse uuritava objekti keskkonnaseisundi iseloomustus koos teostatud mõõtmiste mõõtemääramatuse hinnanguga.,,Siiri Velling,,inglise keel,"Eristav (A, B, C, D, E, F, mi)",,magistriõpe,"- individual written examination 70%
- group -work examination 30%.",Lab-reports are accepted and confirmed,
ARSK.03.012,Laboratoorne meditsiin,1.0,kevad,"Õppeaine käsitleb vere ja teiste kehavedelike uurimiseks kasutatavaid laboratoorseid teste ja nende tulemuste interpreteerimist. Interdistsiplinaarne eriala, mis seostab baasteadusi ja kliinilisi erialasid. Tsükkel moodustab ühe osa sisehaiguste põhikursusest.",,"Kaja Vaagen, Kalle Kisand, Katrin Reimand, Kristiina Kurg, Mailis Tõnisson",,inglise keel,"Eristamata (arv, m.arv, mi)",Tartu linn,integreeritud bakalaureuse- ja magistriõpe,Final Quiz points,Praktikumidest osavõtt,ARSK.03.007 Laboratoorne meditsiin
HVLC.05.070,"Vene keele grammatika III (100% e-õpe), tase B2",3.0,kevad,"Nimisõnad, omadussõnad ja vene käänded.
Tegusõnade rektsioon.
Omadussõnade lühivormid.
Omadussõnade võrdlusastmed: kesk- ja ülivõrre.
Umbmäärased asesõnad.",,Olga Fraiman,,eesti keel,"Eristamata (arv, m.arv, mi)",,"bakalaureuseõpe, doktoriõpe, integreeritud bakalaureuse- ja magistriõpe, magistriõpe, rakenduskõrgharidusõpe",,,
OIEO.04.100,Eraõiguse aktuaalseid probleeme II,8.0,sügis,Aine raames analüüsitakse kirjutatavate doktoritööde pinnal ette valmistatud referaate. Iga doktorant esitab ühe referaadi ja teeb vastava ettekande doktoriõppe  4. aastal ning on ühe referaadi oponendiks.,,"Andres Vutt, Irene Kull, Janno Lahe, Merle Erikson",,eesti keel,"Eristamata (arv, m.arv, mi)",Tartu linn,doktoriõpe,"Lõplik tulemus kujuneb seminariettekande, oponeeringu ja seminaris osalemise pinnalt..",Hindamisele pääsemiseks peab doktorant esitama õigeaegselt ettekande teksti ja oponeeringu.,
KKSP.05.269,Võimlemise algõpetus I,3.0,kevad,Võimlemisharjutuste tehnika ja algõpetuse metoodika. Põhivõimlemiselementide õppimine ja spetsiaalse kehalise ettevalmistuse tõstmine. Oskussõnade õppimine ja harjutuste kirjeldamisoskuse kujundamine.,"Teisipäev, Reede","Kristjan Kais, Taavi Truija",,eesti keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,bakalaureuseõpe,"1. 50% harjutuskombinatsioonide  (poom, kang, rööbaspuu, toenghüpe, akrobaatika) sooritamine võimlemisvõistlustel. 2. 25% kontrolltöö (kirjalik)3. 25 % õppekavas olevate harjutuste tehnika tundmine, juurdeviivad ja arendavad harjutused võimlemiselementide õppimiseks.","Osavõtt kõikidest seminaridest, kontrolltöö terminoloogias sooritamine positiivsele hindele.",
ARMB.01.064,Mikrobioota ja tervis,1.0,kevad,"Käsitletakse inimese mikrobioota kujunemist ja koostist ning erinevate organsüsteemide (seedetrakt, suu, urogenitaaltrakt) mikrobioota seost haigustega. Antakse ülevaade mikrobioota seosest krooniliste mitteinfektsioossete haigustega (allergia, autism, diabeet, metaboolne sündroom) ja bariaatrilise kirurgia mõju mikrobiootale ning üldtervisele. Käsitletakse mikrobioota ja inimese ristkõnet ning diagnoosi ja prognoosi võimalust mikrobioota abil, samuti mikrobioota koostise võimalikke mõjureid (antibiootikumid, lemmikloomad, pro- ja prebiootikumid, funktsionaalne toit).","Teisipäev, Kolmapäev","Epp Sepp, Imbi Smidt, Jaak Truu, Jelena Štšepetova, Kai Truusalu, Paul Naaber, Radko Avi, Reet Mändar, Siiri Kõljalg",,eesti keel,"Eristamata (arv, m.arv, mi)",Tartu linn,"doktoriõpe, integreeritud bakalaureuse- ja magistriõpe, magistriõpe","Osaletud vähemalt 2/3 loengutes, täidetud õppeülesanded Moodle's,
sooritatud lõputest positiivsele tulemusele (vähemalt 70%).","1) Osalemine vähemalt 2/3 loengutes, loengupäev toimub  20. mail 2026 kell 10-18 Biomeedikumis aud. 1024. 
2) Õppeülesannete täitmine Moodle's.",ARMB.01.020 Meditsiiniline mikrobioloogia
